id	gender	sterilization	population	metabolite1	metabolite2	metabolite3	metabolite4	metabolite5
animal1	2	2	1	1.044835929	8.068995115	0.141386868	5.13995461	0.093837975
animal2	1	2	1	1.279459567	3.8656207	0.182043418	5.219343086	0.074481859
animal3	2	2	1	1.339995012	4.372346418	0.145124013	5.090788253	0.034563614
animal4	1	2	1	1.189125697	1.225628931	0.178963129	8.230902811	0.094302246
animal5	2	2	1	1.287062675	1.346630358	0.123813498	6.138685661	0.02224719
animal6	1	2	1	1.263728478	6.654097059	0.107721566	5.745388953	0.049844942
animal7	1	2	1	1.105282555	8.524826593	0.147499919	8.992822532	0.066905325
animal8	1	2	1	1.222634655	7.968118181	0.186563	7.690034163	0.033212652
animal9	1	2	1	1.640602239	4.761581061	0.134070602	5.824694149	0.075029962
animal10	1	2	2	1.086648892	7.824863718	0.258059856	4.883993615	0.024614511
animal11	1	2	2	1.153953627	7.609195633	0.294370629	6.518116229	0.08389721
animal12	1	2	2	1.184642148	8.43942857	0.241399467	6.349583067	0.059204627
animal13	2	1	2	1.03625703	10.97553122	0.269565372	10.14976609	0.084077165
animal14	1	1	2	1.073058087	2.434104224	0.210007722	5.624672435	0.042390496
animal15	1	1	2	1.962228866	4.615536829	0.211453453	4.859056468	0.098528476
animal16	1	2	2	1.140114378	10.05269995	0.26076488	6.368831382	0.056811753
animal17	2	2	2	1.018577244	9.179600177	0.204479351	6.896417512	0.038574119
animal18	1	2	2	1.01127428	5.188811252	0.236514209	8.482083995	0.043939288
animal19	2	1	2	1.100715718	6.06742681	0.28815044	6.950025122	0.067310072
animal20	1	2	3	1.221238564	6.008882832	0.373454211	6.076264691	0.069576006
animal21	1	2	3	1.61153234	8.844063817	0.335212482	5.327535511	0.096378013
animal22	1	1	3	1.064939005	3.700739415	0.305377584	4.624156272	0.089705596
animal23	2	1	3	1.203183472	10.705395	0.355829888	6.346934701	0.078468255
animal24	2	2	3	0.891285498	4.463710641	0.348512071	4.999605254	0.062212123
animal25	2	2	3	0.896214733	9.7876583	0.343649921	5.504227707	0.099678835
animal26	2	2	3	1.113640629	7.274270737	0.305351823	5.48698472	0.012651694
animal27	1	2	3	0.737095482	6.86069832	0.302376866	4.659333268	0.092474358
animal28	1	2	3	0.794089512	7.504962422	0.352285976	5.076891423	0.10037932
animal29	1	2	3	0.940371391	4.211273989	0.32698021	4.999799659	0.077124979
animal30	2	2	4	0.936506162	2.407275716	0.417284027	6.597003416	0.017543025
animal31	1	2	4	0.940041964	5.385521258	0.427149026	5.000748311	0.025642439
animal32	2	1	4	1.233483828	5.956398755	0.434088288	8.461846203	0.098675014
animal33	2	1	4	1.111942809	8.081605723	0.434536313	6.495325705	0.02710246
animal34	1	1	4	1.108173397	6.740580072	0.452248874	6.02515775	0.026503716
animal35	1	2	4	0.983524232	3.868225475	0.425373649	10.03745298	0.088088743
animal36	1	2	4	1.023657626	3.702027146	0.434837928	5.632179785	0.076302913
animal37	1	2	4	1.191659452	1.722252349	0.464192308	5.173542553	0.087091113
animal38	1	2	4	0.887166685	1.88110002	0.463412065	8.527759433	0.020986123
animal39	2	2	4	1.156245808	6.05291542	0.40597889	9.282699574	0.02423254
animal40	2	2	4	1.025535867	2.251127265	0.425141689	8.212472647	0.038473309
animal41	2	2	5	1.126537263	5.693027751	0.501246068	4.897903189	0.067055959
animal42	2	1	5	1.467407806	4.423417653	0.586160941	7.574638124	0.06729609
animal43	2	2	5	1.691480319	1.791531422	0.549433794	5.200469319	0.018784035
animal44	1	2	5	1.10717043	2.870934861	0.555054428	6.716378296	0.070291606
animal45	2	1	5	1.262050449	3.511102241	0.566766182	8.333351828	0.007737992
animal46	2	2	5	0.628670982	3.213598882	0.577083666	9.660079384	0.097940456
animal47	2	2	5	1.465669964	7.643907031	0.597732888	3.721584237	0.022769866
animal48	1	2	5	1.595861446	8.643909224	0.520514733	6.152240151	0.095090847
animal49	1	2	5	1.128713508	2.662095959	0.501838161	4.871965039	0.060392896
animal50	2	2	5	1.388944077	5.578812671	0.520452907	4.915888564	0.003591218
